FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3015,Electronic Voting Systems,0,,Z 15,69,9310,Computer Applications Analyst II - Board of Elections,Annual,1,1,73152.00,73152.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3015,Electronic Voting Systems,0,,Z 13,69,9309,Computer Applications Analyst I - Board of Elections,Annual,1,1,80676.00,80676.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3015,Electronic Voting Systems,0,,Z 13,69,9309,Computer Applications Analyst I - Board of Elections,Annual,1,1,63024.00,63024.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3015,Electronic Voting Systems,0,,Z 13,69,9309,Computer Applications Analyst I - Board of Elections,Annual,1,1,44604.00,44604.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3015,Electronic Voting Systems,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,34860.00,34860.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3015,Electronic Voting Systems,0,,3 00,69,9302,Assistant Manager of MIS - Board of Elections,Annual,1,1,91260.00,91260.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3015,Electronic Voting Systems,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1074.00,1074.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,1 00,69,9614,Deputy Chief Administrative Officer,Annual,1,1,118404.00,118404.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 14,69,9345,Supervisor of Mailroom Operations,Annual,1,1,73152.00,73152.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 11,69,9344,Polling Place Investigator II,Annual,1,1,54348.00,54348.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 11,69,9344,Polling Place Investigator II,Annual,2,1,46860.00,93720.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 11,69,9344,Polling Place Investigator II,Annual,1,1,42456.00,42456.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 09,69,9343,Polling Place Investigator I,Annual,1,1,34860.00,34860.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 09,69,9343,Polling Place Investigator I,Annual,1,1,30060.00,30060.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 14,69,9335,Supervisor of Polling-Board of Elections,Annual,2,1,79788.00,159576.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 15,69,9330,Senior Supervisor - Board of Elections,Annual,1,1,99816.00,99816.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 15,69,9330,Senior Supervisor - Board of Elections,Annual,1,1,83844.00,83844.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 15,69,9330,Senior Supervisor - Board of Elections,Annual,1,1,71364.00,71364.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,63024.00,63024.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,2,1,54348.00,108696.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,49236.00,49236.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,46860.00,46860.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,44604.00,44604.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,33180.00,33180.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,2,1,67872.00,135744.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,64596.00,64596.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,57096.00,57096.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 09,69,9319,Investigator I - Board of Elections,Annual,1,1,30060.00,30060.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 19,69,9314,Director of Elections - Investigation and Security,Annual,1,1,91260.00,91260.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,2,1,42456.00,84912.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,37536.00,37536.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,31584.00,31584.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,30816.00,30816.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3020,Election Support,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2096.00,2096.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,1 00,69,9614,Deputy Chief Administrative Officer,Annual,1,1,118404.00,118404.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 12,69,9342,Election Equipment and Supply Specialist III,Annual,1,1,73092.00,73092.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 12,69,9342,Election Equipment and Supply Specialist III,Annual,1,1,63024.00,63024.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 12,69,9342,Election Equipment and Supply Specialist III,Annual,1,1,51732.00,51732.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 10,69,9341,Election Equipment and Supply Specialist II,Annual,1,1,58524.00,58524.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 10,69,9341,Election Equipment and Supply Specialist II,Annual,1,1,49236.00,49236.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 10,69,9341,Election Equipment and Supply Specialist II,Annual,1,1,41424.00,41424.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 10,69,9341,Election Equipment and Supply Specialist II,Annual,1,1,38472.00,38472.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 10,69,9341,Election Equipment and Supply Specialist II,Annual,1,1,33180.00,33180.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 08,69,9340,Election Equipment and Supply Specialist I,Annual,1,1,42456.00,42456.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 08,69,9340,Election Equipment and Supply Specialist I,Annual,2,1,30816.00,61632.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 08,69,9340,Election Equipment and Supply Specialist I,Annual,1,1,29328.00,29328.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,Z 14,69,9339,Warehouse Supervisor - Board of Elections,Annual,1,1,79788.00,79788.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3025,Voting Machine Equipment  Ballot Preparation and Supplies,0,,3 00,69,9305,Assistant Manager of Warehouse - Board of Elections,Annual,1,1,99816.00,99816.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,1 00,69,9614,Deputy Chief Administrative Officer,Annual,1,1,118404.00,118404.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 15,69,9330,Senior Supervisor - Board of Elections,Annual,1,1,94932.00,94932.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 15,69,9330,Senior Supervisor - Board of Elections,Annual,1,1,76872.00,76872.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,59988.00,59988.00
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,Investigations,0,,3 00,0,9184,Supervising Investigator - IPRA,Annual,3,1,103740.00,311220.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,49236.00,49236.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,33180.00,33180.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,61488.00,61488.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,46860.00,46860.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,44604.00,44604.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,40416.00,40416.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 12,69,9316,Executive Secretary I - Board of Elections,Annual,1,1,63024.00,63024.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,46860.00,46860.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,39432.00,39432.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,36624.00,36624.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,30060.00,30060.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,2,1,28608.00,57216.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3041,Community Services and Deputy Registrars,0,,3 00,69,9301,Assistant Manager of Community Services - Board of Elections,Annual,1,1,99816.00,99816.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 14,69,9337,Supervisor of Registration - Board of Elections,Annual,1,1,68748.00,68748.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 15,69,9330,Senior Supervisor - Board of Elections,Annual,1,1,103872.00,103872.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 15,69,9330,Senior Supervisor - Board of Elections,Annual,1,1,91464.00,91464.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,63024.00,63024.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,54348.00,54348.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,3,1,51732.00,155196.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,49236.00,49236.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,46860.00,46860.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,44604.00,44604.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,33180.00,33180.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,64596.00,64596.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,46860.00,46860.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,44604.00,44604.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,40416.00,40416.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,37536.00,37536.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,36624.00,36624.00
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,2,1,76428.00,152856.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,2,1,34860.00,69720.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,33180.00,33180.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,30816.00,30816.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,2,1,30060.00,60120.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 13,69,9306,Assistant Supervisor of Redistricting - Board of Elections,Annual,1,1,69564.00,69564.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,Z 13,69,9306,Assistant Supervisor of Redistricting - Board of Elections,Annual,1,1,44604.00,44604.00
Local,100,CORPORATE FUND,39,BOARD OF ELECTION COMMISSIONER,1005,2005,ELECTION AND ADMIN DIVISION,3051,Voter Records and Data Processing,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1074.00,1074.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3005,Commissioner's Office,0,,1 00,9,9941,Commissioner of Health,Annual,1,1,177156.00,177156.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3005,Commissioner's Office,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,143844.00,143844.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3005,Commissioner's Office,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,118080.00,118080.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3005,Commissioner's Office,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,116904.00,116904.00
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,1,1,87864.00,87864.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3005,Commissioner's Office,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,115740.00,115740.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3005,Commissioner's Office,0,,1 00,9,9660,First Deputy Commissioner,Annual,1,1,134820.00,134820.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3005,Commissioner's Office,0,,3 00,0,1430,Policy Analyst,Annual,1,1,49668.00,49668.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3005,Commissioner's Office,0,,BX 14,20,318,Assistant to the Commissioner,Annual,1,1,80916.00,80916.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3006,Public Relations,0,,BX 14,10,743,Supervisor of Information Services,Annual,1,1,73752.00,73752.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3006,Public Relations,0,,BX 16,20,729,Information Coordinator,Annual,1,1,59796.00,59796.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3007,Center for Community Partnerships,0,,B 14,4,3466,Public Health Administrator II,Annual,1,1,69648.00,69648.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3007,Center for Community Partnerships,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,685.00,685.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3008,Epidemiology and Emergency Response,0,,G 07,4,3414,Epidemiologist II,Annual,1,1,91224.00,91224.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3008,Epidemiology and Emergency Response,0,,3 00,20,3408,Epidemiologist IV,Annual,1,1,96768.00,96768.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3008,Epidemiology and Emergency Response,0,,3 00,20,3408,Epidemiologist IV,Annual,1,1,94848.00,94848.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3008,Epidemiology and Emergency Response,0,,3 00,0,3402,Director of Epidemiology,Annual,1,1,111216.00,111216.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3010,Fiscal Administration,0,,3 00,20,1179,Manager of Finance,Annual,1,1,102060.00,102060.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3010,Fiscal Administration,0,,B 10,1,431,Clerk IV,Annual,1,1,63456.00,63456.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3010,Fiscal Administration,0,,GZ 07,4,124,Finance Officer,Annual,1,1,81876.00,81876.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3010,Fiscal Administration,0,,GZ 07,4,124,Finance Officer,Annual,1,1,60636.00,60636.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3010,Fiscal Administration,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1452.00,1452.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,B 12,1,1342,Senior Personnel Assistant,Annual,2,1,76428.00,152856.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,B 12,1,1342,Senior Personnel Assistant,Annual,1,1,60600.00,60600.00
