FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4085,4085 Zoning Ordinance Administration,12,20,323,Administrative Assistant III - Excluded,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4085,4085 Zoning Ordinance Administration,14,20,318,Assistant to the Commissioner,Annual,1,1,63276.00,63276
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4085,4085 Zoning Ordinance Administration,13,20,308,Staff Assistant,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4085,4085 Zoning Ordinance Administration,13,20,308,Staff Assistant,Annual,1,1,63276.00,63276
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4085,4085 Zoning Ordinance Administration,13,20,308,Staff Assistant,Annual,1,1,57648.00,57648
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4087,4087 Planned Development,0,0,5406,Chief Landscape Architect,Annual,1,1,87600.00,87600
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4087,4087 Planned Development,17,10,1981,Coordinator of Economic Development,Annual,1,1,73020.00,73020
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4087,4087 Planned Development,15,10,1912,Project Coordinator,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4087,4087 Planned Development,0,20,1441,Coordinating Planner I,Annual,2,1,95832.00,191664
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4087,4087 Planned Development,0,20,1441,Coordinating Planner I,Annual,1,1,91152.00,91152
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4087,4087 Planned Development,7,10,1405,City Planner V,Annual,1,1,76116.00,76116
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4087,4087 Planned Development,12,3,1295,Zoning Plan Examiner,Annual,1,1,63456.00,63456
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4087,4087 Planned Development,0,9,313,Assistant Commissioner,Annual,1,1,92988.00,92988
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4087,4087 Planned Development,17,10,304,Assistant to Commissioner,Annual,1,1,93024.00,93024
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4088,4088 Planning and Urban Design,15,10,1912,Project Coordinator,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4088,4088 Planning and Urban Design,0,20,1441,Coordinating Planner I,Annual,1,1,69684.00,69684
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4088,4088 Planning and Urban Design,0,20,1441,Coordinating Planner I,Annual,1,1,95832.00,95832
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4088,4088 Planning and Urban Design,0,20,1441,Coordinating Planner I,Annual,1,1,91152.00,91152
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4088,4088 Planning and Urban Design,0,20,1440,Coordinating Planner II,Annual,1,1,102024.00,102024
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4088,4088 Planning and Urban Design,7,10,1405,City Planner V,Annual,1,1,80256.00,80256
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4089,4089 Sustainability and Open Space,0,9,9679,Deputy Commissioner,Annual,1,1,112332.00,112332
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4089,4089 Sustainability and Open Space,17,10,1981,Coordinator of Economic Development,Annual,1,1,80916.00,80916
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4089,4089 Sustainability and Open Space,15,10,1912,Project Coordinator,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4089,4089 Sustainability and Open Space,0,20,1441,Coordinating Planner I,Annual,1,1,92064.00,92064
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4089,4089 Sustainability and Open Space,7,10,1405,City Planner V,Annual,1,1,80256.00,80256
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4089,4089 Sustainability and Open Space,0,9,311,Projects Administrator,Annual,1,1,92064.00,92064
Local,100,CORPORATE FUND,54,HOUSING AND ECONOMIC DEVELOPMT,1005,2005,HOUSING AND ECONOMIC DEVELOPMT,3081,3081 Planning And Zoning,4089,4089 Sustainability and Open Space,13,20,308,Staff Assistant,Annual,1,1,60408.00,60408
Local,100,CORPORATE FUND,55,POLICE BOARD,1005,2005,POLICE BOARD,3005,3005 Police Board,0, ,100,9,9955,Executive Director - Police Board,Annual,1,1,97728.00,97728
Local,100,CORPORATE FUND,55,POLICE BOARD,1005,2005,POLICE BOARD,3005,3005 Police Board,0, ,BX12,20,437,Supervising Clerk - Excluded,Annual,1,1,57648.00,57648
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,3005 Administration,0, ,100,9,9956,Chief Administrator,Annual,1,1,161856.00,161856
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,3005 Administration,0, ,300,0,9661,First Deputy Chief Administrator,Annual,1,1,146940.00,146940
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,3005 Administration,0, ,B10,1,4238,Property Custodian,Annual,1,1,57828.00,57828
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,3005 Administration,0, ,300,0,705,Director Public Affairs,Annual,1,1,83940.00,83940
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,3005 Administration,0, ,300,10,629,Principal Programmer/Analyst,Annual,1,1,78612.00,78612
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,3005 Administration,0, ,B11,1,438,Timekeeper - CPD,Annual,1,1,57828.00,57828
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,3005 Administration,0, ,B10,1,431,Clerk IV,Annual,1,1,63456.00,63456
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,3005 Administration,0, ,13,20,366,Staff Assistant - Excluded,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,3005 Administration,0, ,300,9,313,Assistant Commissioner,Annual,1,1,91140.00,91140
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,300,0,9712,Coordinator of Investigations,Annual,1,1,120000.00,120000
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,100,9,9680,Deputy Chief Administrator,Annual,2,1,126624.00,253248
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,100,9,9680,Deputy Chief Administrator,Annual,1,1,93912.00,93912
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,300,0,9184,Supervising Investigator - IPRA,Annual,1,1,85020.00,85020
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,300,0,9184,Supervising Investigator - IPRA,Annual,4,1,82524.00,330096
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B14,3,9183,Investigator I - IPRA,Annual,1,1,69648.00,69648
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B14,3,9183,Investigator I - IPRA,Annual,1,1,65808.00,65808
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B14,3,9183,Investigator I - IPRA,Annual,1,1,62832.00,62832
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,14,3,9183,Investigator I - IPRA,Annual,1,1,54672.00,54672
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B16,3,9181,Investigator III - IPRA,Annual,3,1,105732.00,317196
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B16,3,9181,Investigator III - IPRA,Annual,3,1,100944.00,302832
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B16,3,9181,Investigator III - IPRA,Annual,2,1,96384.00,192768
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B16,3,9181,Investigator III - IPRA,Annual,3,1,87864.00,263592
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B16,3,9181,Investigator III - IPRA,Annual,3,1,83832.00,251496
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B16,3,9181,Investigator III - IPRA,Annual,1,1,79212.00,79212
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B16,3,9181,Investigator III - IPRA,Annual,1,1,75660.00,75660
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B16,3,9181,Investigator III - IPRA,Annual,2,1,65808.00,131616
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,300,0,1646,Attorney,Annual,1,1,70404.00,70404
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B13,1,1617,Paralegal II,Annual,1,1,52200.00,52200
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B10,1,875,Senior Legal Personal Computer Operator,Annual,1,1,39516.00,39516
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B09,1,832,Personal Computer Operator II,Annual,1,1,45828.00,45828
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B09,1,665,Senior Data Entry Operator,Annual,1,1,55212.00,55212
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B09,1,665,Senior Data Entry Operator,Annual,1,1,45828.00,45828
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B09,1,665,Senior Data Entry Operator,Annual,1,1,41364.00,41364
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,BX17,10,634,Data Services Administrator,Annual,1,1,73020.00,73020
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B08,1,430,Clerk III,Annual,1,1,45828.00,45828
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B08,1,430,Clerk III,Annual,2,1,35976.00,71952
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B10,1,422,Intake Aide,Annual,1,1,63456.00,63456
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B10,1,422,Intake Aide,Annual,3,1,57828.00,173484
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B10,1,422,Intake Aide,Annual,2,1,55212.00,110424
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B10,1,422,Intake Aide,Annual,1,1,45372.00,45372
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,3010 Investigations,0, ,B10,1,422,Intake Aide,Annual,1,1,43320.00,43320
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3004,3004 Office of the Superintendent,0, ,0,9,9957,Superintendent of Police,Annual,1,1,260004.00,260004
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3004,3004 Office of the Superintendent,0, ,0,99,9011,Superintendent's Chief of Staff,Annual,1,1,185004.00,185004
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3004,3004 Office of the Superintendent,0, ,13,20,308,Staff Assistant,Annual,1,1,67224.00,67224
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4016,4016 Office of Crime Control Strategies,0,99,9785,Chief,Annual,1,1,185004.00,185004
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4016,4016 Office of Crime Control Strategies,4,73,9173,Lieutenant,Annual,1,1,115644.00,115644
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4016,4016 Office of Crime Control Strategies,3,71,9171,Sergeant,Annual,1,1,102978.00,102978
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4016,4016 Office of Crime Control Strategies,1,91,9161,Police Officer,Annual,1,1,78012.00,78012
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4016,4016 Office of Crime Control Strategies,1,91,9161,Police Officer,Annual,1,1,80724.00,80724
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4016,4016 Office of Crime Control Strategies,0,10,1140,Chief Operations Analyst,Annual,1,1,95832.00,95832
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,0,99,9752,Commander,Annual,1,1,154932.00,154932
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,4,73,9173,Lieutenant,Annual,1,1,112206.00,112206
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,3,71,9171,Sergeant,Annual,3,1,102978.00,308934
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,3,71,9171,Sergeant,Annual,2,1,99756.00,199512
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,3,71,9171,Sergeant,Annual,1,1,96648.00,96648
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,3,71,9171,Sergeant,Annual,1,1,93708.00,93708
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,84396.00,84396
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,87372.00,87372
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,93192.00,93192
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,90540.00,90540
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,1,91,9161,Police Officer,Annual,8,1,80724.00,645792
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,1,91,9161,Police Officer,Annual,19,1,78012.00,1482228
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,1,91,9161,Police Officer,Annual,6,1,75372.00,452232
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,1,91,9161,Police Officer,Annual,7,1,83706.00,585942
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3008,3008 Office of Crime Control Strategies,4017,4017 Deployment Operations Section,15,20,305,Assistant to the Director,Annual,1,1,77280.00,77280
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3012,3012 Office of International Relations,0, ,0,99,9796,Deputy Chief,Annual,1,1,162012.00,162012
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3012,3012 Office of International Relations,0, ,0,99,9785,Chief,Annual,1,1,176532.00,176532
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3012,3012 Office of International Relations,0, ,3,71,9171,Sergeant,Annual,1,1,99756.00,99756
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3012,3012 Office of International Relations,0, ,1,91,9161,Police Officer,Annual,2,1,78012.00,156024
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3012,3012 Office of International Relations,0, ,1,91,9161,Police Officer,Annual,1,1,80724.00,80724
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,0,9,9758,Assistant General Counsel,Annual,1,1,129096.00,129096
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,0,99,9756,General Counsel,Annual,1,1,162012.00,162012
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,1,91,9161,Police Officer,Annual,1,1,75372.00,75372
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,4,71,9016,Police Legal Officer II,Annual,4,1,108900.00,435600
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,3,91,9015,Police Legal Officer I,Annual,1,1,93708.00,93708
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,3,91,9015,Police Legal Officer I,Annual,1,1,99756.00,99756
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,3,91,9015,Police Legal Officer I,Annual,2,1,96648.00,193296
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,13,1,1617,Paralegal II,Annual,1,1,72936.00,72936
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,13,1,1617,Paralegal II,Annual,1,1,69648.00,69648
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,0,0,1430,Policy Analyst,Annual,1,1,118080.00,118080
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,0,9,311,Projects Administrator,Annual,1,1,85020.00,85020
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4030,4030 Office of the General Counsel,10,1,302,Administrative Assistant II,Annual,2,1,57828.00,115656
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4031,4031 Management and Labor Affairs Section,0,99,9780,Director of Management/Labor Affairs,Annual,1,1,154932.00,154932
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4031,4031 Management and Labor Affairs Section,4,73,9173,Lieutenant,Annual,1,1,112206.00,112206
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4031,4031 Management and Labor Affairs Section,3,71,9171,Sergeant,Annual,1,1,93708.00,93708
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4031,4031 Management and Labor Affairs Section,3,71,9171,Sergeant,Annual,1,1,102978.00,102978
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4031,4031 Management and Labor Affairs Section,3,71,9171,Sergeant,Annual,1,1,99756.00,99756
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3017,3017 Office of the General Counsel,4031,4031 Management and Labor Affairs Section,7,10,1386,Labor Relation Specialist III,Annual,1,1,80256.00,80256
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3426,3426 News Affairs,0, ,300,9,9715,Director of News Affairs,Annual,1,1,112008.00,112008
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3426,3426 News Affairs,0, ,D01,91,9161,Police Officer,Annual,1,1,80724.00,80724
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3426,3426 News Affairs,0, ,B10,1,302,Administrative Assistant II,Annual,1,1,57828.00,57828
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3427,3427 Bureau of Internal Affairs,4040,4040 Bureau of Internal Affairs,0,99,9796,Deputy Chief,Annual,1,1,162012.00,162012
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3427,3427 Bureau of Internal Affairs,4040,4040 Bureau of Internal Affairs,0,99,9785,Chief,Annual,1,1,176532.00,176532
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3427,3427 Bureau of Internal Affairs,4040,4040 Bureau of Internal Affairs,0,99,9752,Commander,Annual,2,1,154932.00,309864
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3427,3427 Bureau of Internal Affairs,4040,4040 Bureau of Internal Affairs,2,91,9174,Police Agent,Annual,5,1,90540.00,452700
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3427,3427 Bureau of Internal Affairs,4040,4040 Bureau of Internal Affairs,2,91,9174,Police Agent,Annual,9,1,87918.00,791262
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3427,3427 Bureau of Internal Affairs,4040,4040 Bureau of Internal Affairs,2,91,9174,Police Agent,Annual,7,1,84756.00,593292
Local,100,CORPORATE FUND,57,DEPARTMENT OF POLICE,1005,2005,DEPARTMENT OF POLICE,3427,3427 Bureau of Internal Affairs,4040,4040 Bureau of Internal Affairs,4,73,9173,Lieutenant,Annual,2,1,108900.00,217800
