FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,81,DSS,300,Vehicle Tax Fund,1050,BUREAU OF TRAFFIC SERVICES,2070,Bureau of Traffic Services,3211,Administration,4100,Executive Direction,B 12,1,303,Administrative Assistant III,Annual,1,1,66612.00,66612.00
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3010,Operations,4040,Police Dispatch,I 14,2,8602,Police Communications Operator II,Annual,16,1,67464.00,1079424.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3019,Torts,4026,Torts,3 00,0,1653,Claims Manager,Annual,1,1,102636.00,102636.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4122,Special Operations,3 00,89,8764,Deputy District Chief,Annual,3,1,162240.00,486720.00
Local,35,DPS,740,Chicago O'Hare Airport Fund,1005,PROCUREMENT SERVICES,2005,Department of Procurement Services,3012,Contract Management,4120,Construction,BX 17,0,1508,Senior Procurement Specialist,Annual,1,1,79020.00,79020.00
Grant,91,CPL,0Z57,Illinois Library Development - Per Capita and Area,1005,CHICAGO PUBLIC LIBRARY,2895,Illinois Library Development - Per Capita and Area,3910,Reference and Circulation Services,0,,G 03,5,573,Library Associate,Annual,1,1,65040.00,65040.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3144,Finance and Economic Development,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2794.00,2794.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3450,Organizational Development - Administration,0,,D 01,91,9161,Police Officer,Annual,2,1,93354.00,186708.00
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3035,Administration,4002,Administrative Services,BX 12,20,323,Administrative Assistant III - Excluded,Annual,1,1,44604.00,44604.00
Local,84,CDOT,100,Corporate Fund,1115,ADMINISTRATION,2115,Division of Administration,3216,Finance,4214,Accounting,G 05,4,102,Accountant II,Annual,3,1,88152.00,264456.00
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3089,Planning  Historical Preservation  and Sustainability,4038,Sustainability,B 13,1,308,Staff Assistant,Annual,1,1,88044.00,88044.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3108,Support Services,4134,Equipment/Supplies,F 01,87,8731,Firefighter,Annual,1,1,87006.00,87006.00
CDBG,45,HUMAN RELATIONS,0J45,Community Development Block Grant Year XLV,1005,HUMAN RELATIONS,2510,Fair Housing,3510,Fair Housing,0,,G 06,3,3085,Human Relations Investigator II,Annual,1,1,62904.00,62904.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2018,Bureau of Organized Crime,3303,Gang Investigation,4311,Intelligence Section,D 01,91,9161,Police Officer,Annual,1,1,84054.00,84054.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,References and Circulation Services,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,69828.00,69828.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3112,Fire Prevention,4146,Inspections,F 04,87,8735,Lieutenant,Annual,5,1,114846.00,574230.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3125,Federal Civil Rights Litigation,0,,L 03,9,1673,Assistant Corporation Counsel III,Annual,2,1,81744.00,163488.00
Local,84,CDOT,100,Corporate Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3256,Labor,4262,Bridges,W 12,31,7235,Supervising Bridge Operator,Annual,1,1,78432.00,78432.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4717,Skilled Trades,2 0,32,5035,Electrical Mechanic,Hourly,67,1,48.35,6738056.00
Local,81,DSS,100,Corporate Fund,1045,BUREAU OF FORESTRY,2060,Bureau of Forestry,3136,Forestry Operations,4063,Tree Trimming,2 0,54,7975,Tree Trimmer,Hourly,24,1,38.58,1925914.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2140,Bureau of Fleet Operations,3219,Fleet Maintenance Operations,0,,2 0,8,7161,Fleet Services Supervisor,Hourly,1,1,25.88,53830.00
Grant,70,BACP,0P20,Illinois Department of Commerce and Economic Opportunity,1005,BACP,2815,Cable Local Origination,3815,Cable Local Origination,0,,BX 12,10,938,Senior Videographer,Annual,1,1,62376.00,62376.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4606,Airfield Operations,V 16,54,7025,Assistant Chief Airport Operations Supervisor,Annual,1,1,110988.00,110988.00
Local,67,BUILDINGS,100,Corporate Fund,1005,BUILDINGS,2005,Department of Buildings,3006,Administration,4001,Office of the Commissioner,B 13,1,308,Staff Assistant,Annual,1,1,88044.00,88044.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4430,Lease and Real Estate Portfolio Management,BX 15,10,1665,Chief Leasing Agent,Annual,1,1,96096.00,96096.00
Local,84,CDOT,310,Motor Fuel Tax Fund,1150,ELECTRICAL OPERATIONS,2150,Division of Electrical Operations,3270,Electrical Operations and Maintenance,4273,Street Light Maintenance,2 0,29,5081,Lineman,Hourly,24,1,51.90,2590848.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3457,Human Resources Division,4267,Medical Section,S 04,37,3603,Occupational Health Nurse,Annual,1,1,62076.00,62076.00
Local,67,BUILDINGS,100,Corporate Fund,1005,BUILDINGS,2005,Department of Buildings,3015,Plan Review,0,,G 09,4,5615,Civil Engineer V,Annual,1,1,125484.00,125484.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2140,Bureau of Fleet Operations,3219,Fleet Maintenance Operations,0,,2 0,8,7185,Foreman of Motor Truck Drivers,Hourly,1,1,38.45,79976.00
Local,6,DOIT,100,Corporate Fund,1005,DOIT,2005,Department of Innovation and Technology,3350,Technical Operations,0,,3 00,0,649,Project Manager - DoIT,Annual,1,1,97668.00,97668.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3023,Affirmative Litigation,0,,L 03,9,1673,Assistant Corporation Counsel III,Annual,1,1,113124.00,113124.00
Local,84,CDOT,300,Vehicle Tax Fund,1125,ENGINEERING,2125,Division of Engineering,3224,Design,4226,Highways Design,B 10,1,431,Clerk IV,Annual,1,1,63600.00,63600.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3006,Administration,4010,Administrative Services,3 00,9,1695,Administrative Deputy,Annual,1,1,143976.00,143976.00
Local,58,OEMC,610,Chicago Midway Airport Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3010,Operations,4050,Aviation Dispatch,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,11146.00,11146.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4911,Airport Planning and Development,3 00,20,5410,Coordinating Architect,Annual,1,1,110436.00,110436.00
Local,81,DSS,0B32,Garbage Collection Fund,1015,BUREAU OF SANITATION,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 13,54,8104,Field Sanitation Specialist,Annual,2,1,92100.00,184200.00
Local,84,CDOT,300,Vehicle Tax Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3256,Labor,4266,Pothole and Pavement Maintenance,V 10,54,427,District Clerk - Asphalt,Annual,1,1,49884.00,49884.00
Local,38,FFM,314,Sewer Fund,1005,Fleet & Facility Management,2140,Bureau of Fleet Operations,3223,Fleet Operations - Sewer,0,,2 0,42,7635,Foreman of Hoisting Engineers,Hourly,1,1,55.10,114608.00
Local,41,HEALTH,100,Corporate Fund,1005,DEPARTMENT OF PUBLIC HEALTH,2020,Public Health,3332,Adolescent and School Health,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,434.00,434.00
Local,81,DSS,0B32,Garbage Collection Fund,1015,BUREAU OF SANITATION,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,1 00,9,9679,Deputy Commissioner,Annual,1,1,125244.00,125244.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4911,Airport Planning and Development,3 00,20,5410,Coordinating Architect,Annual,1,1,102636.00,102636.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3276,Youth Investigations Division,0,,3 00,99,9752,Commander,Annual,1,1,162684.00,162684.00
Local,81,DSS,0B32,Garbage Collection Fund,1015,BUREAU OF SANITATION,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,V 10,54,441,Sanitation Clerk,Annual,2,1,49884.00,99768.00
Local,58,OEMC,100,Corporate Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 10,1,8615,Communications Operator I - 3-1-1,Annual,1,1,42120.00,42120.00
Local,39,ELECTIONS,100,Corporate Fund,1005,BOARD OF ELECTION COMMISSIONER,2005,Election and Administration Division,3005,Administration,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,2,1,30060.00,60120.00
Grant,91,CPL,0Z57,Illinois Library Development - Per Capita and Area,1005,CHICAGO PUBLIC LIBRARY,2895,Illinois Library Development - Per Capita and Area,3910,Reference and Circulation Services,0,,G 04,5,501,Librarian I,Annual,5,1,79836.00,399180.00
Local,35,DPS,100,Corporate Fund,1005,PROCUREMENT SERVICES,2005,Department of Procurement Services,3006,Departmental Administration,4006,Administration,B 13,1,1617,Paralegal II,Annual,1,1,52848.00,52848.00
Local,58,OEMC,610,Chicago Midway Airport Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3010,Operations,4050,Aviation Dispatch,I 13,2,7003,Aviation Communications Operator,Annual,2,1,67464.00,134928.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2035,Bureau of Technical Services,3318,General Support Division,0,,D 01,91,9161,Police Officer,Annual,3,1,96060.00,288180.00
Local,31,LAW,610,Chicago Midway Airport Fund,1005,LAW,2005,Department of Law,3038,Aviation  Environmental and Regulatory Litigation,4019,Aviation Litigation-Midway,L 05,9,1641,Assistant Corporation Counsel Supervisor,Annual,1,1,124116.00,124116.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4700,Administration Facilities,3 00,20,7020,General Manager of Airport Operations,Annual,1,1,113376.00,113376.00
Local,58,OEMC,740,Chicago O'Hare Airport Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9112,Traffic Control Aide,Annual,2,1,41832.00,83664.00
Local,88,DWM,200,Water Fund,1015,ENGINEERING SERVICES,2015,Bureau of Engineering Services,3116,Inspections Services,4001,Water Inspection Services,2 0,16,2235,Assistant Chief Plumbing Inspector,Monthly,1,1,9775.85,117310.00
CDBG,5,OBM,0J45,Community Development Block Grant Year XLV,1005,OBM,2505,Administration and Monitoring,3505,Administration and Monitoring,0,,BX 13,20,366,Staff Assistant - Excluded,Annual,1,1,70608.00,70608.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3292,Special Functions Division,4335,Mounted Unit,D 02,91,9169,Police Officer - Assigned as Mounted Patrol Officer,Annual,11,1,68616.00,754776.00
Local,1,MAYOR,100,Corporate Fund,1005,OFFICE OF THE MAYOR,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,74160.00,74160.00
Local,33,DHR,100,Corporate Fund,1005,HUMAN RESOURCES,2005,Department of Human Resources,3040,Employment Services  Hiring and Compensation,4046,Employee Processing,G 08,4,1380,Recruiter,Annual,1,1,108816.00,108816.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2131,Bureau of Asset Management,3106,Graphics Services,4113,Printing Services,B 10,1,6406,Reprographics Technician III,Annual,1,1,52284.00,52284.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2131,Bureau of Asset Management,3115,Environmental Health and Safety,0,,3 00,10,289,Safety Administrator,Annual,1,1,98628.00,98628.00
Local,84,CDOT,100,Corporate Fund,1145,PROJECT DEVELOPMENT,2145,Division of Project Development,3248,Neighborhood Enhancement and Sustainable Development,4254,Citywide Services,BX 17,10,3092,Program Director,Annual,1,1,100668.00,100668.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2140,Bureau of Fleet Operations,3219,Fleet Maintenance Operations,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,75408.00,75408.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3456,Finance Division,4257,Payroll Services,B 09,1,665,Senior Data Entry Operator,Annual,1,1,66612.00,66612.00
Local,25,CITY CLERK,300,Vehicle Tax Fund,1005,CITY CLERK,2005,City Clerk,3035,License Compliance Unit,0,,B 10,1,1232,Licensing Enforcement Aide - City Clerk,Annual,2,1,66612.00,133224.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4024,Public Vehicle Operations,3 00,9,313,Assistant Commissioner,Annual,1,1,93924.00,93924.00
Local,81,DSS,0B32,Garbage Collection Fund,1015,BUREAU OF SANITATION,2020,Bureau of Sanitation,3050,Solid Waste Collection,4021,Supervisory and Clerical,BX 17,10,8176,Assistant Division Superintendent,Annual,1,1,87564.00,87564.00
Local,73,ANIMAL CARE / CONTROL,100,Corporate Fund,1005,ANIMAL CARE AND CONTROL,2005,Chicago Animal Care and Control,3005,Animal Control,0,,I 11,2,3496,Animal Control Officer,Annual,3,1,61464.00,184392.00
Grant,41,HEALTH,0U26,Maternal and Child Health,1005,DEPARTMENT OF PUBLIC HEALTH,2910,Maternal and Child Health Block Grant,3913,MCH Case Management,0,,1 00,0,11,Contract Wage Increment - Salary,Annual,0,0,7514.00,7514.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,B 13,1,1301,Administrative Services Officer I,Annual,1,1,52848.00,52848.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4717,Skilled Trades,2 0,39,4634,Painter,Hourly,1,1,47.33,98446.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4666,Tax Administration,B 11,1,190,Accounting Technician II,Annual,1,1,46236.00,46236.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2126,Bureau of Facility Management,3101,Facilities Management,4105,Building Engineers,B 11,1,450,Clerk IV (Timekeeper),Annual,1,1,60744.00,60744.00
Local,58,OEMC,610,Chicago Midway Airport Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3010,Operations,4050,Aviation Dispatch,O 15,59,7002,Shift Supervisor of Security Communications Center,Annual,4,1,58416.00,233664.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3144,Finance and Economic Development,0,,L 05,9,1641,Assistant Corporation Counsel Supervisor,Annual,1,1,124116.00,124116.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3005,Administration and Support Services,0,,G 06,5,574,Librarian III,Annual,1,1,96360.00,96360.00
Local,88,DWM,200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3261,System Installation and Maintenance,4011,Water System Installation and Maintenance,2 0,42,763C,Hoisting Engineer,Hourly,73730,0,51.10,3767603.00
Local,91,CPL,346,Library Fund,1005,CHICAGO PUBLIC LIBRARY,2005,Chicago Public Library,3010,References and Circulation Services,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,174554.00,174554.00
Local,58,OEMC,100,Corporate Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 10,1,8615,Communications Operator I - 3-1-1,Annual,13,1,40020.00,520260.00
Local,54,PLANNING AND DEVELOPMENT,100,Corporate Fund,1005,Planning and Development,2005,Department of Planning and Development,3089,Planning  Historical Preservation  and Sustainability,4038,Sustainability,BX 17,10,1985,Coordinator of Economic Development II - Planning and Development,Annual,1,1,96096.00,96096.00
Grant,50,DFSS,0Y23,Area Plan on Aging,1005,FAMILY AND SUPPORT SERVICES,2903,Area Plan on Aging - Older Americans Act - State,3903,Area Plan on Aging - Older Americans Act - State,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,140916.00,140916.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3286,Patrol Services,4319,District Law Enforcement,D 01,91,9161,Police Officer,Annual,1187,1,93354.00,110811198.00
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3040,Technology,4105,Internal Secure Communications Network,2 0,36,6674,Machinist,Hourly,2,1,48.38,201261.00
Grant,41,HEALTH,0U40,Integrated HIV Surveillance and Protection,1005,DEPARTMENT OF PUBLIC HEALTH,280Y,HIV Surveillance and Prevention,380Y,HIV Surveillance and Prevention,0,,B 09,1,665,Senior Data Entry Operator,Annual,1,1,36504.00,36504.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 07,4,193,Auditor III,Annual,3,1,69444.00,208332.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3108,Support Services,4134,Equipment/Supplies,3 00,80,8784,Coordinator of Air Mask Services,Annual,1,1,163872.00,163872.00
Local,59,CFD,610,Chicago Midway Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4618,Fire Suppression and Rescue,F 1B,87,8801,Firefighter - EMT,Annual,1,1,89148.00,89148.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2126,Bureau of Facility Management,3101,Facilities Management,4101,Facilities Area Management Services,1 00,9,9679,Deputy Commissioner,Annual,1,1,131316.00,131316.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3031,Business Compliance Enforcement,0,,B 14,1,1210,Business Compliance Investigator,Annual,1,1,80232.00,80232.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3010,Advocacy and Outreach,4020,Cable Municipal Channel,B 14,1,703,Public Relations Representative III,Annual,1,1,58032.00,58032.00
Grant,58,OEMC,0V61,Urban Area Security Initiative,1010,OEMC,2811,Urban Areas Security Initiative - Phse 3 (ODP),3811,Urban Area Security Initiative,0,,1 00,9,9684,Deputy Director,Annual,1,1,129072.00,129072.00
Local,88,DWM,200,Water Fund,1035,METER SERVICES,2035,Bureau of Meter Services,3345,Meter Services,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,11061.00,11061.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2012,Patrol Services,3283,Bureau of Patrol,0,,D 01,91,9161,Police Officer,Annual,1,1,96060.00,96060.00
Local,60,COPA,100,Corporate Fund,1005,COPA,2005,Civilian Office of Police Accountability,3005,Administration,0,,B 10,1,431,Clerk IV,Annual,1,1,42120.00,42120.00
Local,27,FINANCE,200,Water Fund,1005,FINANCE,2020,Revenue Services and Operations,3220,Accounts Receivable,4205,Billing Exceptions and Escalation,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2564.00,2564.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3039,Investigations and Prosecutions,4041,Prosecutions,1 00,9,1656,City Prosecutor,Annual,1,1,143976.00,143976.00
Grant,41,HEALTH,0U64,Ryan White HIV Care Act Part A - Emergency Relief,1005,DEPARTMENT OF PUBLIC HEALTH,2731,Ryan White HIV Care Act Part A - Emergency Relief,3731,Ryan White HIV Care Act a - Emergency Relief,0,,BX 15,20,380,Director of Administration I,Annual,1,1,72744.00,72744.00
Local,88,DWM,200,Water Fund,1025,OPERATIONS AND DISTRIBUTION,2025,Bureau of Operations and Distribution,3249,Agency Management,4005,Water Agency Management,3 00,0,5985,General Superintendent of Water Management,Annual,1,1,120348.00,120348.00
Local,31,LAW,100,Corporate Fund,1005,LAW,2005,Department of Law,3125,Federal Civil Rights Litigation,0,,L 03,9,1673,Assistant Corporation Counsel III,Annual,1,1,85632.00,85632.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3454,Inspections Division,0,,G 06,4,192,Auditor II,Annual,1,1,62904.00,62904.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4118,Fire Suppression and Rescue,F 04,87,8735,Lieutenant,Annual,20,1,107790.00,2155800.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4414,Capital Finance,BX 15,10,134,Financial Analyst,Annual,1,1,61776.00,61776.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3005,Administration,4009,Finance and Payroll,3 00,9,313,Assistant Commissioner,Annual,1,1,91092.00,91092.00
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4120,Emergency Medical Services,F 3A,87,8749,Paramedic-In-Charge,Annual,60,1,86748.00,5204880.00
Local,58,OEMC,353,Emergency Communication Fund,1010,OEMC,2705,Office of Emergency Management and Communications,3050,City Operations,4165,Operations Center,BX 18,10,8621,Manager of Emergency Management Services,Annual,1,1,82788.00,82788.00
Local,84,CDOT,300,Vehicle Tax Fund,1135,INFRASTRUCTURE MANAGEMENT,2135,Division of Infrastructure Management,3236,Public Way Management,4238,Underground Construction,G 09,4,5615,Civil Engineer V,Annual,1,1,125484.00,125484.00
Local,84,CDOT,100,Corporate Fund,1150,ELECTRICAL OPERATIONS,2150,Division of Electrical Operations,3275,Electrical Construction,4280,Electrical Construction Support,2 0,29,5083,Foreman of Lineman,Hourly,7,1,56.90,828464.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3457,Human Resources Division,4266,Human Resources,3 00,0,306,Assistant Director,Annual,1,1,95736.00,95736.00
Local,27,FINANCE,100,Corporate Fund,1005,FINANCE,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,GY 12,20,150,Manager of Auditing,Annual,1,1,118896.00,118896.00
Local,88,DWM,314,Sewer Fund,1015,ENGINEERING SERVICES,2015,Bureau of Engineering Services,3121,Design and Construction Services,4004,Sewer Design and Construction Services,3 00,20,5632,Coordinating Engineer II,Annual,1,1,129072.00,129072.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4410,Departmental Finance,B 13,1,308,Staff Assistant,Annual,1,1,96564.00,96564.00
Grant,41,HEALTH,0U52,Building Epidemiology and Health It Capacity,1005,DEPARTMENT OF PUBLIC HEALTH,2710,Building Epidemiology and Health IT Capacity,3710,Building Epidemiology and Health IT Capacity,0,,1 00,0,11,Contract Wage Increment - Salary,Annual,0,0,7514.00,7514.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3282,Youth Investigations Division,4284,Juvenile Intervention and Support Center,1 00,0,11,Contract Wage Increment - Salary,Annual,0,0,11919.00,11919.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2009,Organizational Development,3455,Court Liaison Section,0,,E 03,71,9171,Sergeant,Annual,3,1,107988.00,323964.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2103,Bureau of Finance and Administration,3111,Human Resources,4131,Personnel,1 00,9,9679,Deputy Commissioner,Annual,1,1,131316.00,131316.00
Local,31,LAW,314,Sewer Fund,1005,LAW,2005,Department of Law,3444,Finance and Economic Development,0,,1 00,9,1650,Deputy Corporation Counsel,Annual,1,1,143976.00,143976.00
Local,67,BUILDINGS,100,Corporate Fund,1005,BUILDINGS,2005,Department of Buildings,3006,Administration,4001,Office of the Commissioner,B 13,1,308,Staff Assistant,Annual,1,1,52848.00,52848.00
Local,84,CDOT,100,Corporate Fund,1105,OFFICE OF THE COMMISSIONER,2105,Commissioner's Office,3205,Intergovernmental Support,0,,3 00,9,313,Assistant Commissioner,Annual,1,1,95736.00,95736.00
Grant,41,HEALTH,0U40,Integrated HIV Surveillance and Protection,1005,DEPARTMENT OF PUBLIC HEALTH,280Y,HIV Surveillance and Prevention,380Y,HIV Surveillance and Prevention,0,,BX 18,10,3443,Director of Disease Investigations,Annual,1,1,75408.00,75408.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3010,Advocacy and Outreach,4020,Cable Municipal Channel,BX 14,10,926,Television Production Specialist,Annual,1,1,61776.00,61776.00
Local,3,OIG,100,Corporate Fund,1005,OFFICE OF INSPECTOR GENERAL,2005,Office of Inspector General,3010,Operations,0,,BX 12,10,645,Technical Support Administrator - IG,Annual,1,1,44604.00,44604.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4700,Administration Facilities,B 12,1,303,Administrative Assistant III,Annual,2,1,84024.00,168048.00
Grant,41,HEALTH,0U23,Immunizations and Vaccines for Children,1005,DEPARTMENT OF PUBLIC HEALTH,2820,Immunizations and Vaccines for Children,3934,Immunization,0,,BX 18,10,3469,Director of Public Health Operations,Annual,1,1,96096.00,96096.00
Local,88,DWM,200,Water Fund,1020,WATER SUPPLY,2020,Bureau of Water Supply,3210,Water Pumping,0,,BX 18,20,8305,Coordinator of Tugboat Operations,Annual,1,1,110436.00,110436.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3282,Youth Investigations Division,4284,Juvenile Intervention and Support Center,D 01,91,9161,Police Officer,Annual,5,1,48078.00,240390.00
Local,6,DOIT,100,Corporate Fund,1005,DOIT,2005,Department of Innovation and Technology,3385,Software Development,0,,3 00,10,624,GIS Data Base Analyst,Annual,1,1,98628.00,98628.00
Local,57,CPD,100,Corporate Fund,1005,Chicago Police Department,2016,Bureau of Detectives,3281,Central Investigations Division,4283,Major Accident Investigations Section,D 02,91,9151,Police Officer - Assigned as Traffic Specialist,Annual,5,1,100980.00,504900.00
Local,85,AVIATION,740,Chicago O'Hare Airport Fund,1005,AVIATION,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4727,Custodial/Labor Services,2 0,35,4286,Foreman of Window Washers,Hourly,1,1,24.98,51958.00
